"","correctclass","N","correctresponse","bootsci_high","bootsci_low"
"1","age",210,0.544714285714286,0.596429761904762,0.493189285714286
"2","color",252,0.424246031746032,0.469126984126984,0.379799603174603
"3","material",145,0.359793103448276,0.417518965517241,0.303241379310345
"4","quality",109,0.594678899082569,0.662935779816514,0.523761467889908
"5","shape",205,0.413170731707317,0.463219512195122,0.363071951219512
"6","size",185,0.611513513513513,0.662489189189189,0.560918918918919
"7","texture",142,0.61887323943662,0.678029929577465,0.559079225352113
