date,workerid,amount
Wed Feb 14 16:35:51 PST 2018,A3LE1BIVORW3VR,0.5
Wed Feb 14 16:53:17 PST 2018,A24KNAYGIC1V7Q,0.5
Wed Feb 14 16:55:31 PST 2018,A3MI4W2P50DBKS,0.5
Wed Feb 14 17:09:11 PST 2018,A3KCZB9IL6CVH,0.5
Wed Feb 14 17:22:19 PST 2018,AS8SQNNHLCSN7,0.5
Wed Feb 14 17:38:18 PST 2018,A1Z1ZEAV9M7Z1C,0.5
Wed Feb 14 17:52:10 PST 2018,A31BHRW6QKVBQ9,0.5
Wed Feb 14 18:11:39 PST 2018,A37M4OVE9R80G,0.5
Wed Feb 14 19:10:11 PST 2018,A3N2AKT3FC55UU,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
