date,workerid,amount
Mon Feb 19 15:52:55 PST 2018,A7KLTVEIASF4J,0.5
Mon Feb 19 15:54:26 PST 2018,ALUPYZR6LW0QF,0.5
Mon Feb 19 16:00:43 PST 2018,AJIYWA73TCVR7,0.5
Mon Feb 19 16:24:42 PST 2018,A21WX8SSWIBC6G,0.5
Mon Feb 19 16:31:05 PST 2018,A1ICZ6VHY7Y2OY,0.5
Mon Feb 19 16:44:42 PST 2018,A30V1UH00MWJU5,0.5
Mon Feb 19 17:29:59 PST 2018,AWJ4EHRKDZ53X,0.5
Mon Feb 19 18:28:31 PST 2018,A1QP6MVGQF7SYZ,0.5
Mon Feb 19 19:10:05 PST 2018,AQDXJG6NGLY2,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
