date,workerid,amount
Mon Feb 19 15:55:04 PST 2018,A2KUWEN5J9VHLM,0.5
Mon Feb 19 16:00:59 PST 2018,A2X3QCJK0H18T8,0.5
Mon Feb 19 16:13:10 PST 2018,A29MNBUGZXT8AO,0.5
Mon Feb 19 18:29:12 PST 2018,A2KZVP4SEEUJYL,0.5
Mon Feb 19 18:56:15 PST 2018,A17INQQIULEF1N,0.5
Mon Feb 19 21:04:10 PST 2018,A2Y7BO0CROURI4,0.5
Mon Feb 19 21:05:18 PST 2018,AXQWKUJF7SQXP,0.5
Mon Feb 19 21:14:31 PST 2018,A25F6WT9CIM0Z5,0.5
Mon Feb 19 23:47:03 PST 2018,A1M0JDU08KRH7X,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
