date,workerid,amount
Mon Feb 19 16:02:46 PST 2018,AAVBGN3TFA9BT,0.5
Mon Feb 19 16:06:22 PST 2018,A1SCDQLN07S9Y2,0.5
Mon Feb 19 16:29:37 PST 2018,A1KX1CMLUCQNFX,0.5
Mon Feb 19 16:40:09 PST 2018,A30KK8QW1WEAFC,0.5
Mon Feb 19 18:01:40 PST 2018,A3RW3H202EZIGN,0.5
Mon Feb 19 18:20:33 PST 2018,A2Y5ES6FTVL9HZ,0.5
Mon Feb 19 18:40:02 PST 2018,A14E4UOQDV9O7O,0.5
Mon Feb 19 21:00:11 PST 2018,A304PUXIRA930J,0.5
Mon Feb 19 22:06:57 PST 2018,A2PTXQ060AH5S5,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
